HOSP_ID,ADM_DISC,RATE,INTERVAL_LOWER_LIMIT,INTERVAL_HIGHER_LIMIT,START_QUARTER,START_DATE,END_QUARTER,END_DATE
420068,307,14.87,6.85,22.89,3Q2013,07/01/2013,2Q2015,06/30/2015
420069,46,12.27,0,24.79,3Q2013,07/01/2013,2Q2015,06/30/2015
420070,518,9,1.82,16.18,3Q2013,07/01/2013,2Q2015,06/30/2015
420071,982,11.22,4.73,17.71,3Q2013,07/01/2013,2Q2015,06/30/2015
420072,16,13.43,0.33,26.53,3Q2013,07/01/2013,2Q2015,06/30/2015
420073,1876,8.78,3.79,13.76,3Q2013,07/01/2013,2Q2015,06/30/2015
420078,1358,15.14,11.08,19.2,3Q2013,07/01/2013,2Q2015,06/30/2015
420079,1801,14.17,8.38,19.97,3Q2013,07/01/2013,2Q2015,06/30/2015
420080,5,13.62,0.43,26.81,3Q2013,07/01/2013,2Q2015,06/30/2015
420082,484,14.38,6.41,22.35,3Q2013,07/01/2013,2Q2015,06/30/2015
420083,545,21.53,13.02,30.04,3Q2013,07/01/2013,2Q2015,06/30/2015
420085,315,19.11,10.38,27.85,3Q2013,07/01/2013,2Q2015,06/30/2015
420086,1794,12.94,8.64,17.24,3Q2013,07/01/2013,2Q2015,06/30/2015
420087,2126,7.9,3.58,12.23,3Q2013,07/01/2013,2Q2015,06/30/2015
420089,14,13.07,0.15,25.99,3Q2013,07/01/2013,2Q2015,06/30/2015
420091,1063,20.5,14.74,26.26,3Q2013,07/01/2013,2Q2015,06/30/2015
420098,993,12.66,5.24,20.09,3Q2013,07/01/2013,2Q2015,06/30/2015
420101,16,12.81,0.02,25.61,3Q2013,07/01/2013,2Q2015,06/30/2015
420102,620,8.69,0,19.23,3Q2013,07/01/2013,2Q2015,06/30/2015
420103,207,10.21,0,21.63,3Q2013,07/01/2013,2Q2015,06/30/2015
420104,69,10.61,0,22.26,3Q2013,07/01/2013,2Q2015,06/30/2015
420105,541,17.75,9.49,26.01,3Q2013,07/01/2013,2Q2015,06/30/2015
420106,247,14.07,3.74,24.4,3Q2013,07/01/2013,2Q2015,06/30/2015
420107,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
420108,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
430005,457,11.57,2.83,20.3,3Q2013,07/01/2013,2Q2015,06/30/2015
430008,41,12.65,0,25.36,3Q2013,07/01/2013,2Q2015,06/30/2015
430012,583,9.73,2.97,16.49,3Q2013,07/01/2013,2Q2015,06/30/2015
430013,215,8.64,0,19.15,3Q2013,07/01/2013,2Q2015,06/30/2015
430014,311,37.74,30.1,45.37,3Q2013,07/01/2013,2Q2015,06/30/2015
430015,227,10.57,1.02,20.12,3Q2013,07/01/2013,2Q2015,06/30/2015
430016,1950,10.94,6.11,15.76,3Q2013,07/01/2013,2Q2015,06/30/2015
430027,3146,9.43,6.15,12.71,3Q2013,07/01/2013,2Q2015,06/30/2015
430048,302,16.38,5.24,27.53,3Q2013,07/01/2013,2Q2015,06/30/2015
430077,646,20.94,13.92,27.97,3Q2013,07/01/2013,2Q2015,06/30/2015
430081,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
430082,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
430083,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
430084,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
430089,1134,7.59,0,16.49,3Q2013,07/01/2013,2Q2015,06/30/2015
430090,1226,6.62,0,15.81,3Q2013,07/01/2013,2Q2015,06/30/2015
430091,1253,6.48,0,14.69,3Q2013,07/01/2013,2Q2015,06/30/2015
430093,31,12.06,0,24.48,3Q2013,07/01/2013,2Q2015,06/30/2015
430095,209,19.89,9.61,30.17,3Q2013,07/01/2013,2Q2015,06/30/2015
430096,96,11.77,0,24.03,3Q2013,07/01/2013,2Q2015,06/30/2015
430097,120,9.7,0,20.83,3Q2013,07/01/2013,2Q2015,06/30/2015
440001,35,12.55,0,25.22,3Q2013,07/01/2013,2Q2015,06/30/2015
440002,1548,15.36,9.47,21.24,3Q2013,07/01/2013,2Q2015,06/30/2015
440003,430,15.4,7.54,23.25,3Q2013,07/01/2013,2Q2015,06/30/2015
440006,495,26.65,18.55,34.75,3Q2013,07/01/2013,2Q2015,06/30/2015
440007,10,12.7,0,25.44,3Q2013,07/01/2013,2Q2015,06/30/2015
440008,3,13.61,0.42,26.79,3Q2013,07/01/2013,2Q2015,06/30/2015
440009,339,10.78,1.13,20.44,3Q2013,07/01/2013,2Q2015,06/30/2015
440010,,,,,3Q2013,07/01/2013,2Q2015,06/30/2015
440011,508,22.9,13.79,32.01,3Q2013,07/01/2013,2Q2015,06/30/2015
